;Auctions;Order;obname;agent;Oid;type;dir;price;quty;validity
0;Auctions;Order;lvmh;paul4;1.0;L;A;60.0;75.0;3.0
1;Auctions;Order;lvmh;paul3;1.0;L;A;61.0;13.0;3.0
2;Auctions;##############################;;;;;;;;
3;Auctions;##############################;;;;;;;;
4;Auctions;##############################;;;;;;;;
5;Auctions;##############################;;;;;;;;
6;Auctions;##############################;;;;;;;;
7;Auctions;##############################;;;;;;;;
8;Auctions;##############################;;;;;;;;
9;Auctions;##############################;;;;;;;;
10;Auctions;Order;lvmh;paul2;1.0;L;B;62.0;0.0;2.0
11;Auctions;##############################;;;;;;;;
12;Auctions;##############################;;;;;;;;
13;Auctions;##############################;;;;;;;;
14;Auctions;##############################;;;;;;;;
15;Auctions;##############################;;;;;;;;
16;Auctions;##############################;;;;;;;;
17;Auctions;##############################;;;;;;;;
18;Auctions;##############################;;;;;;;;
19;Auctions;##############################;;;;;;;;
20;Auctions;Order;lvmh;paul4;1.0;L;A;60.0;75.0;3.0
21;Auctions;Order;lvmh;paul3;1.0;L;A;61.0;13.0;3.0
22;Auctions;##############################;;;;;;;;
23;Auctions;##############################;;;;;;;;
24;Auctions;##############################;;;;;;;;
25;Auctions;##############################;;;;;;;;
26;Auctions;##############################;;;;;;;;
27;Auctions;##############################;;;;;;;;
28;Auctions;##############################;;;;;;;;
29;Auctions;##############################;;;;;;;;
30;Auctions;Order;lvmh;paul2;1.0;L;B;62.0;0.0;2.0
31;Auctions;##############################;;;;;;;;
32;Auctions;##############################;;;;;;;;
33;Auctions;##############################;;;;;;;;
34;Auctions;##############################;;;;;;;;
35;Auctions;##############################;;;;;;;;
36;Auctions;##############################;;;;;;;;
37;Auctions;##############################;;;;;;;;
38;Auctions;##############################;;;;;;;;
39;Auctions;##############################;;;;;;;;
40;Auctions;Order;lvmh;paul4;1.0;L;A;60.0;75.0;3.0
41;Auctions;Order;lvmh;paul3;1.0;L;A;61.0;13.0;3.0
42;Auctions;Order;lvmh;paul6;1.0;L;A;62.0;56.0;2.0
43;Auctions;##############################;;;;;;;;
44;Auctions;##############################;;;;;;;;
45;Auctions;##############################;;;;;;;;
46;Auctions;##############################;;;;;;;;
47;Auctions;##############################;;;;;;;;
48;Auctions;##############################;;;;;;;;
49;Auctions;##############################;;;;;;;;
50;Auctions;Order;lvmh;seller;0.0;L;B;100.0;0.0;-1.0
51;Auctions;Order;lvmh;paul5;1.0;L;B;59.0;36.0;3.0
52;Auctions;Order;lvmh;paul1;1.0;L;B;57.0;33.0;2.0
53;Auctions;##############################;;;;;;;;
54;Auctions;##############################;;;;;;;;
55;Auctions;##############################;;;;;;;;
56;Auctions;##############################;;;;;;;;
57;Auctions;##############################;;;;;;;;
58;Auctions;##############################;;;;;;;;
59;Auctions;##############################;;;;;;;;
60;Auctions;Order;lvmh;paul4;1.0;L;A;60.0;75.0;3.0
61;Auctions;Order;lvmh;paul3;1.0;L;A;61.0;13.0;3.0
62;Auctions;Order;lvmh;paul6;1.0;L;A;62.0;56.0;2.0
63;Auctions;##############################;;;;;;;;
64;Auctions;##############################;;;;;;;;
65;Auctions;##############################;;;;;;;;
66;Auctions;##############################;;;;;;;;
67;Auctions;##############################;;;;;;;;
68;Auctions;##############################;;;;;;;;
69;Auctions;##############################;;;;;;;;
70;Auctions;Order;lvmh;seller;0.0;L;B;100.0;0.0;-1.0
71;Auctions;Order;lvmh;paul5;1.0;L;B;59.0;36.0;3.0
72;Auctions;Order;lvmh;paul1;1.0;L;B;57.0;33.0;2.0
73;Auctions;##############################;;;;;;;;
74;Auctions;##############################;;;;;;;;
75;Auctions;##############################;;;;;;;;
76;Auctions;##############################;;;;;;;;
77;Auctions;##############################;;;;;;;;
78;Auctions;##############################;;;;;;;;
79;Auctions;##############################;;;;;;;;
80;Auctions;Order;lvmh;paul4;1.0;L;A;60.0;75.0;3.0
81;Auctions;Order;lvmh;paul3;1.0;L;A;61.0;13.0;3.0
82;Auctions;Order;lvmh;paul6;1.0;L;A;62.0;56.0;2.0
83;Auctions;Order;lvmh;buyer;0.0;L;A;100.0;0.0;-1.0
84;Auctions;##############################;;;;;;;;
85;Auctions;##############################;;;;;;;;
86;Auctions;##############################;;;;;;;;
87;Auctions;##############################;;;;;;;;
88;Auctions;##############################;;;;;;;;
89;Auctions;##############################;;;;;;;;
90;Auctions;Order;lvmh;paul5;1.0;L;B;59.0;36.0;3.0
91;Auctions;Order;lvmh;paul1;1.0;L;B;57.0;33.0;2.0
92;Auctions;##############################;;;;;;;;
93;Auctions;##############################;;;;;;;;
94;Auctions;##############################;;;;;;;;
95;Auctions;##############################;;;;;;;;
96;Auctions;##############################;;;;;;;;
97;Auctions;##############################;;;;;;;;
98;Auctions;##############################;;;;;;;;
99;Auctions;##############################;;;;;;;;
100;Auctions;Order;lvmh;paul4;1.0;L;A;60.0;75.0;3.0
101;Auctions;Order;lvmh;paul3;1.0;L;A;61.0;13.0;3.0
102;Auctions;Order;lvmh;paul6;1.0;L;A;62.0;56.0;2.0
103;Auctions;Order;lvmh;buyer;0.0;L;A;100.0;0.0;-1.0
104;Auctions;##############################;;;;;;;;
105;Auctions;##############################;;;;;;;;
106;Auctions;##############################;;;;;;;;
107;Auctions;##############################;;;;;;;;
108;Auctions;##############################;;;;;;;;
109;Auctions;##############################;;;;;;;;
110;Auctions;Order;lvmh;paul5;1.0;L;B;59.0;36.0;3.0
111;Auctions;Order;lvmh;paul1;1.0;L;B;57.0;33.0;2.0
112;Auctions;##############################;;;;;;;;
113;Auctions;##############################;;;;;;;;
114;Auctions;##############################;;;;;;;;
115;Auctions;##############################;;;;;;;;
116;Auctions;##############################;;;;;;;;
117;Auctions;##############################;;;;;;;;
118;Auctions;##############################;;;;;;;;
119;Auctions;##############################;;;;;;;;
120;Auctions;Order;lvmh;paul4;1.0;L;A;60.0;75.0;3.0
121;Auctions;Order;lvmh;paul6;2.0;L;A;60.0;19.0;2.0
122;Auctions;Order;lvmh;paul4;2.0;L;A;60.0;15.0;3.0
123;Auctions;Order;lvmh;paul3;1.0;L;A;61.0;13.0;3.0
124;Auctions;Order;lvmh;paul5;2.0;L;A;61.0;88.0;3.0
125;Auctions;Order;lvmh;paul6;1.0;L;A;62.0;56.0;2.0
126;Auctions;Order;lvmh;buyer;0.0;L;A;100.0;0.0;-1.0
127;Auctions;Order;lvmh;buyer;1.0;L;A;100.0;0.0;-1.0
128;Auctions;##############################;;;;;;;;
129;Auctions;##############################;;;;;;;;
130;Auctions;Order;lvmh;seller;1.0;L;B;100.0;0.0;-1.0
131;Auctions;Order;lvmh;paul5;1.0;L;B;59.0;36.0;3.0
132;Auctions;Order;lvmh;paul2;2.0;L;B;58.0;13.0;2.0
133;Auctions;Order;lvmh;paul1;1.0;L;B;57.0;33.0;2.0
134;Auctions;##############################;;;;;;;;
135;Auctions;##############################;;;;;;;;
136;Auctions;##############################;;;;;;;;
137;Auctions;##############################;;;;;;;;
138;Auctions;##############################;;;;;;;;
139;Auctions;##############################;;;;;;;;
140;Auctions;Order;lvmh;paul4;1.0;L;A;60.0;75.0;3.0
141;Auctions;Order;lvmh;paul6;2.0;L;A;60.0;19.0;2.0
142;Auctions;Order;lvmh;paul4;2.0;L;A;60.0;15.0;3.0
143;Auctions;Order;lvmh;paul3;1.0;L;A;61.0;13.0;3.0
144;Auctions;Order;lvmh;paul5;2.0;L;A;61.0;88.0;3.0
145;Auctions;Order;lvmh;paul6;1.0;L;A;62.0;56.0;2.0
146;Auctions;Order;lvmh;buyer;0.0;L;A;100.0;0.0;-1.0
147;Auctions;Order;lvmh;buyer;1.0;L;A;100.0;0.0;-1.0
148;Auctions;##############################;;;;;;;;
149;Auctions;##############################;;;;;;;;
150;Auctions;Order;lvmh;seller;1.0;L;B;100.0;0.0;-1.0
151;Auctions;Order;lvmh;paul5;1.0;L;B;59.0;36.0;3.0
152;Auctions;Order;lvmh;paul2;2.0;L;B;58.0;13.0;2.0
153;Auctions;Order;lvmh;paul1;1.0;L;B;57.0;33.0;2.0
154;Auctions;##############################;;;;;;;;
155;Auctions;##############################;;;;;;;;
156;Auctions;##############################;;;;;;;;
157;Auctions;##############################;;;;;;;;
158;Auctions;##############################;;;;;;;;
159;Auctions;##############################;;;;;;;;
160;Auctions;Order;lvmh;paul4;1.0;L;A;60.0;75.0;3.0
161;Auctions;Order;lvmh;paul6;2.0;L;A;60.0;19.0;2.0
162;Auctions;Order;lvmh;paul4;2.0;L;A;60.0;15.0;3.0
163;Auctions;Order;lvmh;paul3;1.0;L;A;61.0;13.0;3.0
164;Auctions;Order;lvmh;paul5;2.0;L;A;61.0;88.0;3.0
165;Auctions;Order;lvmh;paul1;2.0;L;A;61.0;84.0;3.0
166;Auctions;Order;lvmh;paul6;1.0;L;A;62.0;56.0;2.0
167;Auctions;Order;lvmh;buyer;0.0;L;A;100.0;0.0;-1.0
168;Auctions;Order;lvmh;buyer;1.0;L;A;100.0;0.0;-1.0
169;Auctions;##############################;;;;;;;;
170;Auctions;Order;lvmh;paul5;1.0;L;B;59.0;36.0;3.0
171;Auctions;Order;lvmh;paul2;2.0;L;B;58.0;13.0;2.0
