;Tick;numtick;obname;bestask;bestbid;price;quty;volatility;cum_quty;return;volatility_return
0;Tick;1;lvmh;0.06;0.059;0.06;0;0.0;0;0.0;
1;Tick;2;lvmh;0.06;0.059;0.06;0;0.0;0;0.0;
2;Tick;3;lvmh;0.12;0.118;0.12;77;0.0;77;-1.0;0.0
3;Tick;4;lvmh;0.12;0.118;0.12;0;0.55425626039505;77;0.0;0.5773502691896258
4;Tick;5;lvmh;0.12;0.118;0.12;0;0.55425626039505;77;0.0;0.5
5;Tick;6;lvmh;0.12;0.118;0.12;0;0.525813639163971;77;0.0;0.44721359549995804
6;Tick;7;lvmh;0.12;0.118;0.12;0;0.4957418739795685;77;0.0;0.408248290463863
7;Tick;8;lvmh;0.12;0.118;0.12;0;0.46843206882476807;77;0.0;0.3779644730092273
8;Tick;9;lvmh;0.12;0.118;0.12;0;0.4443936347961426;77;0.0;0.3535533905932738
9;Tick;10;lvmh;0.12;0.118;0.12;0;0.4233202040195465;77;0.0;0.33333333333333337
10;Tick;11;lvmh;0.12;0.118;0.12;0;0.4047715663909912;77;0.0;0.31622776601683794
11;Tick;12;lvmh;0.12;0.118;0.12;0;0.38833919167518616;77;0.0;0.3015113445777636
12;Tick;13;lvmh;0.12;0.118;0.12;0;0.3736795485019684;77;0.0;0.2886751345948128
13;Tick;14;lvmh;0.12;0.118;0.12;0;0.36051246523857117;77;0.0;0.27735009811261463
14;Tick;15;lvmh;0.12;0.118;0.12;0;0.3486109972000122;77;0.0;0.2672612419124243
15;Tick;16;lvmh;0.12;0.118;0.12;0;0.3377911448478699;77;0.0;0.25819888974716115
16;Tick;17;lvmh;0.12;0.118;0.12;0;0.3279024362564087;77;0.0;0.25
17;Tick;18;lvmh;0.12;0.118;0.12;0;0.31882143020629883;77;0.0;0.24253562503633308
18;Tick;19;lvmh;0.12;0.118;0.12;0;0.310445636510849;77;0.0;0.23570226039551587
19;Tick;20;lvmh;0.12;0.118;0.12;0;0.3026897609233856;77;0.0;0.22941573387056172
20;Tick;21;lvmh;0.12;0.118;0.12;0;0.29548180103302;77;0.0;0.22360679774997888
21;Tick;22;lvmh;0.12;0.118;0.12;0;0.28876081109046936;77;0.0;0.21821789023599245
22;Tick;23;lvmh;0.12;0.118;0.12;0;0.2824750542640686;77;0.0;0.21320071635561055
23;Tick;24;lvmh;0.12;0.118;0.12;0;0.27657997608184814;77;0.0;0.2085144140570748
24;Tick;25;lvmh;0.12;0.118;0.12;0;0.2710367441177368;77;0.0;0.20412414523193165
25;Tick;26;lvmh;0.12;0.118;0.12;0;0.2658120393753052;77;0.0;0.2000000000000001
26;Tick;27;lvmh;0.12;0.118;0.12;0;0.2608766555786133;77;0.0;0.1961161351381839
27;Tick;28;lvmh;0.12;0.118;0.12;0;0.2562050223350525;77;0.0;0.19245008972987515
28;Tick;29;lvmh;0.12;0.118;0.12;0;0.2517745792865753;77;0.0;0.1889822365046137
29;Tick;30;lvmh;0.12;0.118;0.12;0;0.24756550788879395;77;0.0;0.18569533817705197
30;Tick;31;lvmh;0.15;0.148;0.15;94778;0.24355991184711456;94855;-0.25000008940696716;0.18257418583505525
31;Tick;32;lvmh;0.15;0.148;0.15;0;0.2586316466331482;94855;0.0;0.18367514907999932
32;Tick;33;lvmh;0.15;0.148;0.15;0;0.2709124684333801;94855;0.0;0.18082890797287807
33;Tick;34;lvmh;0.15;0.148;0.15;0;0.2810370922088623;94855;0.0;0.17811088128973127
34;Tick;35;lvmh;0.15;0.148;0.15;0;0.28945091366767883;94855;0.0;0.1755117328182474
35;Tick;36;lvmh;0.15;0.148;0.15;0;0.296480268239975;94855;0.0;0.17302305024734357
36;Tick;37;lvmh;0.15;0.148;0.15;0;0.3023715913295746;94855;0.0;0.17063723096649017
37;Tick;38;lvmh;0.15;0.148;0.15;0;0.30731624364852905;94855;0.0;0.16834738463902135
38;Tick;39;lvmh;0.15;0.148;0.15;0;0.311465322971344;94855;0.0;0.16614724971646855
39;Tick;40;lvmh;0.15;0.148;0.15;9217;0.3149398863315582;104072;0.0;0.16403112159845357
40;Tick;41;lvmh;0.15;0.148;0.15;0;0.31783878803253174;104072;0.0;0.1619937905675713
41;Tick;42;lvmh;0.15;0.148;0.15;0;0.32024386525154114;104072;0.0;0.1600304879666908
42;Tick;43;lvmh;0.15;0.148;0.15;0;0.32222235202789307;104072;0.0;0.15813683935658215
43;Tick;44;lvmh;0.15;0.148;0.15;0;0.32383087277412415;104072;0.0;0.15630882360944545
44;Tick;45;lvmh;0.15;0.148;0.15;45;0.3251177668571472;104117;0.0;0.15454273707003305
45;Tick;46;lvmh;0.15;0.148;0.15;0;0.3261232078075409;104117;0.0;0.15283516205928113
46;Tick;47;lvmh;0.15;0.148;0.15;24008;0.3268824815750122;128125;0.0;0.15118293911241495
47;Tick;48;lvmh;0.15;0.148;0.15;0;0.32742539048194885;128125;0.0;0.14958314243959117
48;Tick;49;lvmh;0.15;0.148;0.15;0;0.3277779817581177;128125;0.0;0.14803305817638887
49;Tick;50;lvmh;0.15;0.148;0.15;0;0.32796216011047363;128125;0.0;0.14653016505711014
50;Tick;51;lvmh;0.15;0.148;0.15;0;0.32799795269966125;128125;0.0;0.14507211719841806
51;Tick;52;lvmh;0.15;0.148;0.15;0;0.32790234684944153;128125;0.0;0.14365672872642166
52;Tick;53;lvmh;0.15;0.148;0.15;11;0.3276904225349426;128136;0.0;0.14228196001849955
53;Tick;54;lvmh;0.15;0.148;0.15;0;0.3273751139640808;128136;0.0;0.14094590536325458
54;Tick;55;lvmh;0.15;0.148;0.15;0;0.32696816325187683;128136;0.0;0.13964678186910717
55;Tick;56;lvmh;0.15;0.148;0.15;0;0.32647982239723206;128136;0.0;0.13838291947496895
56;Tick;57;lvmh;0.15;0.148;0.15;0;0.32591935992240906;128136;0.0;0.13715275193592272
57;Tick;58;lvmh;0.15;0.148;0.15;0;0.32529446482658386;128136;0.0;0.13595480867345336
58;Tick;59;lvmh;0.15;0.148;0.15;0;0.32461288571357727;128136;0.0;0.13478770739394078
59;Tick;60;lvmh;0.15;0.148;0.15;0;0.32388046383857727;128136;0.0;0.1336501473913039
60;Tick;61;lvmh;0.15;0.148;0.15;0;0.32310351729393005;128136;0.0;0.1325409034601244
61;Tick;62;lvmh;0.15;0.148;0.15;0;0.32228702306747437;128136;0.0;0.13145882035457018
62;Tick;63;lvmh;0.15;0.148;0.15;0;0.32143518328666687;128136;0.0;0.13040280773623794
63;Tick;64;lvmh;0.15;0.148;0.15;0;0.32055261731147766;128136;0.0;0.12937183556073933
64;Tick;65;lvmh;0.15;0.148;0.15;0;0.319642573595047;128136;0.0;0.12836492985872514
